team,fifa_rank,fifa_points
Argentina,1,1877.27
Spain,2,1874.71
France,3,1870.70
England,4,1828.02
Portugal,5,1767.85
Brazil,6,1765.86
Morocco,7,1755.10
Netherlands,8,1753.57
Belgium,9,1742.24
Germany,10,1735.77
Croatia,11,1714.87
Colombia,13,1698.35
Mexico,14,1687.48
Senegal,15,1684.07
Uruguay,16,1673.07
United States,17,1671.23
Japan,18,1661.58
Switzerland,19,1650.06
Iran,20,1619.58
Turkey,22,1605.73
Ecuador,23,1598.52
Austria,24,1597.40
South Korea,25,1591.63
Australia,27,1579.34
Algeria,28,1571.03
Egypt,29,1562.37
Canada,30,1559.48
Norway,31,1557.44
Ivory Coast,33,1540.87
Panama,34,1539.16
Paraguay,41,1505.35
Scotland,42,1503.34
Cameroon,44,1481.24
Tunisia,45,1476.41
DR Congo,46,1474.43
Uzbekistan,50,1458.73
Czech Republic,40,1505.74
Sweden,38,1509.79
Qatar,56,1450.00
Iraq,57,1446.00
South Africa,60,1428.00
Saudi Arabia,61,1423.00
Jordan,63,1387.00
Bosnia and Herzegovina,64,1387.00
Cape Verde,67,1371.00
Ghana,73,1346.00
Curaçao,82,1294.00
Haiti,83,1293.00
New Zealand,85,1275.00
